Text	dominant	non_dominant	preds
Find a good fried chicken restaurant ; and find me a good expensive japanese restaurant near 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
Is it raining right now? ; or Will it rain in the next 30 minutes? 	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Make a reservation for 3 ; get a reservation at Ma Peche after the concert 	 App_Service 	 App_Service	"GetWeather, GetWeather"
Find ; and a brunch spot in Lower 	 Location_Service 	 Location_Service	"Traffic_update, Traffic_update"
Book a table near my London hotel next Wednesday evening ; La Chine for the 11th at 	 App_Service 	 App_Service	"Traffic_update, Location_Service"
Get me a table at Din Tai Fung for the ; a table at an American restaurant for Thanksgiving 	 App_Service 	 App_Service	"Location_Service, GetWeather"
Make a reservation for 4 people for today's lunch at ; and Is there a table for boozy brunch at around 	 App_Service 	 App_Service	"GetWeather, Location_Service"
Book for 4 people at Per Se for Tuesday evening ; my girlfriend in a romantic restaurant for Valentine's day 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Find me a brunch spot in Lower Manhattan and ; a store near Sia's place where I can buy champagne 	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
"Show me the Quickest directions to pick ; practice, and How do I go back home? "	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
"a reservation for five people at Galli for Friday night, ; Need a table for 6 "	 App_Service 	 App_Service	"Location_Service, Location_Service"
Are there some tips to know when going to Battery ; How crowded is Per Se right 	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
Book a table for 3 people at ; on Third for my family reunion on Saturday 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Book a table for Sophie and ; and a table for a group of 12 near west 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Find me a table for lunch to eat steak near ; station and a table for four for dinner 	 App_Service 	 App_Service	"Traffic_update, Traffic_update"
What's the weather like in 3 days? ; Should I take an umbrella to walk to my dinner? 	 GetWeather 	 GetWeather	"Traffic_update, Traffic_update"
Book a table ; and a table for 12 in 3 	 App_Service 	 App_Service	"Restaurant_Reservation, Restaurant_Reservation"
What's the weather like near my upcoming event? ; Is it cold outside? 	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Please book a table at Delmonico's this ; a table at a restaurant near Emily's place for tomorrow 	 App_Service 	 App_Service	"GetWeather, GetWeather"
"Show me the fastest itinerary to go to Williamsburg, ; How do I go back home? "	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
"What's the weather like in Paris, New York and Chicago? ; Is it a beautiful day for a walk? "	 GetWeather 	 GetWeather	"GetWeather, Location_Service"
Show me the cheapest cocktail bar near the hotel my ; where can I eat the best burger in Soho? 	 Location_Service 	 Location_Service	"Location_Service, GetWeather"
Book ; table at the best chinese restaurant in town for today's 	 App_Service 	 App_Service	"GetWeather, GetWeather"
meeting? ; Can I go hiking this afternoon? 	 GetWeather 	 GetWeather	"Traffic_update, Trafficupdate"
Show me the best museums to visit near my London ; a store near Sia's place where I can buy champagne 	 Location_Service 	 Location_Service	"GetWeather, Traffic_update"
Book a table at a restaurant near Times Square ; I'd like a table in a peaceful restaurant around Times 	 App_Service 	 App_Service	"Traffic_update, GetWeather"
Should I take an umbrella to walk to my dinner? ; Is it raining right now? 	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Find the top 3 family attractions in Hollywood not far ; and find the best restaurants near my airbnb that 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
Get me a table ; and book a restaurant for brunch next 	 App_Service 	 App_Service	"GetWeather, Location_Service"
"Show me the forecast for New Orleans, ; Will it rain in the next 30 minutes? "	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Share with Franz my ETA and ; with Mary 	 Traffic_update 	 Traffic_update	"GetWeather, GetWeather"
"What's the weather like in Paris, New York and Chicago? ; Should I have an umbrella with me tomorrow? "	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Book a table for four people at Tapestry for 9pm ; a table at the nearest sushi restaurant for 2 for 	 App_Service 	 App_Service	"GetWeather, GetWeather"
Book a table ; a table for two at Nobu New York tonight. 	 App_Service 	 App_Service	"Traffic_update, Traffic_update"
Get me a table ; and a table for two at Nobu New York tonight 	 App_Service 	 App_Service	"Traffic_update, Location_Service"
Book a table for four people at Mondrian Soho ; and I want a table for friday 8pm for 	 App_Service 	 App_Service	"Location_Service, GetWeather"
Send a message to my boss with my ETA and ; share my time of arrival with my Airbnb host. 	 Traffic_update 	 Traffic_update	"GetWeather, Location_Service"
"Need a table for 12 in 3 hours, ; I'd like a table in a peaceful restaurant around Times "	 App_Service 	 App_Service	"Location_Service, Location_Service"
Book a table at The Standard ; and a table near my London hotel next Wednesday 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Is there any Uber around? ; Book an Uber to my next meeting. 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Is Three Dots and a Dash cheaper than Lost Lake? ; What's the closest between Jo's and Lori's 	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
Book me a table for 4 at Delmonico's around ; and get me a table 	 App_Service 	 App_Service	"Location_Service, Location_Service"
Can ; Book a table at Saddle Peak Lodge for my dinner 	 App_Service 	 App_Service	"Location_Service, Location_Service"
"Find me a brunch spot in Lower Manhattan, ; I want to eat some fried chicken. Any suggestions? "	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
Is it raining right now? ; What will the weather be like tomorrow morning? 	 GetWeather 	 GetWeather	"Traffic_update, Traffic_update"
Book a table at the nearest sushi restaurant for 2 ; pm and a table for 8 at Tavern on the 	 App_Service 	 App_Service	"Traffic_update, Traffic_update"
Book for 4 people at Per Se for Tuesday ; and Make a reservation at Delmonico's on Saturday 8pm for 	 App_Service 	 App_Service	"Restaurant_Reservation, Restaurant_Reservation"
I want the weather in Paris. ; Is it cold 	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Show me the way to go to work. ; How do I go back home? 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
Show me walking directions to MOMA ; and the way to Rand's birthday party by 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
What will the weather be like when I land in ; Can I walk to my next meeting? 	 GetWeather 	 GetWeather	"GetWeather, Location_Service"
