Text	dominant	non_dominant	preds
Show me directions to my next meeting avoiding traffic and ; directions to Tulsa with road 66 	 GetDirections 	 GetDirections	"GetDirections, GetDirections"
"Can I have a table at the Russian Tea Room ; Also, Book a table at Joan's on Third for my "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Find me an outdoor table at Five leaves for 3 ; I can get a reservation at Ma Peche after the 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Make a reservation at Delmonico's on Saturday 8pm for 10 ; and a table for four for dinner tonight 	 BookRestaurant 	 BookRestaurant	"SearchPlace, BookRestaurant"
Share my location with Steve for 3 days and ; with Hillary's sister 	 ShareCurrentLocation 	 ShareCurrentLocation	"ShareCurrentLocation, ShareCurrentLocation"
"I want to see photos of the place we're going ; , Is there a parking there? "	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, SearchPlace"
Find a store near Sia's place where ; parks with swings and pony rides around my aunt's place 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
What time does Employees Only close? ; Where can I get tickets for a concert there? 	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, RequestRide"
What's the weather like in 3 days? ; I want the weather in Paris 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Table for two at Nobu New York tonight ; get me a table at Din Tai Fung for the 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"Book a Lyft car to go to 33 greene street, ; is there any Uber around? "	 RequestRide 	 RequestRide	"RequestRide, RequestRide"
Are there some tips to know when going to Battery ; Show me the menu of the restaurant I booked for 	 GetPlaceDetails 	 GetPlaceDetails	"ShareETA, GetTrafficInformation"
Book a table for 5 people at ; to book a table at Seven Hills for sunset 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
What will the weather be like when I land in ; How windy will it be tomorrow? 	 GetWeather 	 GetWeather	"GetTrafficInformation, GetTrafficInformation"
Book a Lyft car to go ; and a taxi to go to Sebastian's 	 RequestRide 	 RequestRide	"RequestRide, RequestRide"
What's the weather like at my parents'? ; Will it rain tomorrow near my all day event? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Where can I get tickets for a concert at Blue ; Who is playing tonight there? 	 GetPlaceDetails 	 GetPlaceDetails	"GetWeather, GetWeather"
Show me the parks with swings and ; I want to eat some fried chicken. Any suggestions? 	 SearchPlace 	 SearchPlace	"GetPlaceDetails, SearchPlace"
Directions to JFK airport at 7am ; . Quickest directions to go pick up my son there 	 GetDirections 	 GetDirections	"GetDirections, GetDirections"
"Book a taxi to go to Sebastian's, ; is there any Uber around? "	 RequestRide 	 RequestRide	"RequestRide, RequestRide"
Share my ETA with the Snips team ; and 	 ShareETA 	 ShareETA	"ShareETA, ShareCurrentLocation"
Any traffic problems to go to my dinner? ; Is there any traffic on US 20? 	 GetTrafficInformation 	 GetTrafficInformation	"GetTrafficInformation, GetTrafficInformation"
Get me a spot at Ippudo for lunch and ; book a table at Seven Hills for 6 people with 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Show me veggie restaurants nearby and ; find me a place that sells burritos in South Harlem 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
What time does Employees Only close? ; How far is the NoMad Bar? 	 GetPlaceDetails 	 GetPlaceDetails	"RequestRide, RequestRide"
Find a store near Sia's place where I can buy ; and find me a brunch spot in Lower Manhattan 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
I want a table in a good japanese restaurant near ; Figure out if I can get a reservation at Ma 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
I need a taxi to catch my flight tomorrow morning. ; Get an Uber to go there 	 RequestRide 	 RequestRide	"BookRestaurant, BookRestaurant"
Where can I eat the best burger in Soho? ; Find me a brunch spot in Lower Manhattan 	 SearchPlace 	 SearchPlace	"RequestRide, RequestRide"
Driving directions to Tavern on the Green. ; Get me directions to Las Vegas avoiding toll roads 	 GetDirections 	 GetDirections	"GetDirections, GetWeather"
Is it going to be sunny next week? ; What will the weather be like at Jo's place this 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Book for 4 at Nobu for tomorrow evening. ; want a table for friday 8pm for 2 people at 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, GetWeather"
Need a reservation for brunch for 5 ; afternoon 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Find me an outdoor table at Five leaves for 3 ; I need reservations at Quince at 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
What's the best irish pub in hell's kitchen? ; Show me the cheapest cocktail bar near the hotel my 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
Find me a brunch spot in Lower Manhattan ; and a good expensive japanese restaurant near 	 SearchPlace 	 SearchPlace	"SearchPlace, BookRestaurant"
What's the phone number of my hotel in Chicago next ; Does the Butcher's Daughter serve vegetarian food only? 	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, GetPlaceDetails"
Where can I eat the best burger in Soho? ; Find me a restaurant similar to the one I went 	 SearchPlace 	 SearchPlace	"SearchPlace, GetPlaceDetails"
Book a restaurant for 6 near my morning meeting tomorrow ; not too crowded for tomorrow evening 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"Show me photos of Mondrian Soho ; , Is there valet parking at "	 GetPlaceDetails 	 GetPlaceDetails	"GetWeather, GetWeather"
Share my ETA with Jo and ; send my ETA to the guy I'm meeting with 	 ShareETA 	 ShareETA	"ShareCurrentLocation, ShareCurrentLocation"
and ; night 	 BookRestaurant 	 BookRestaurant	"GetTrafficInformation, GetTrafficInformation"
It is a beautiful day for a walk? ; What will the weather be like in London next week? 	 GetWeather 	 GetWeather	"GetTrafficInformation, GetTrafficInformation"
Is the weather good for a walk today? ; What will the weather be like when I get out 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Find a good fried chicken restaurant ; and find me a good expensive japanese restaurant near work 	 SearchPlace 	 SearchPlace	"BookRestaurant, RequestRide"
Is it raining right now? ; or Will it rain in the next 30 minutes? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
and ; figure out if I can get a reservation at Ma 	 BookRestaurant 	 BookRestaurant	"RequestRide, RequestRide"
Find me a salad bar I can go to for ; a brunch spot in Lower 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
Book a table near my London hotel next Wednesday evening ; for the 11th at 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Get me a table at Din Tai Fung for the ; and a table at an American restaurant for Thanksgiving 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Make a reservation for 4 people for today's lunch at ; and Is there a table for boozy brunch at around 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Book for 4 people at Per Se for Tuesday evening ; my girlfriend in a romantic restaurant for Valentine's day 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Find me a brunch spot in Lower Manhattan ; and a store near Sia's place where I can buy 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
Show me the Quickest directions to pick up my son ; and How do I go back home? 	 GetDirections 	 GetDirections	"GetDirections, GetDirections"
I need a reservation for five people at Galli for ; Need a table for 	 BookRestaurant 	 BookRestaurant	"RequestRide, RequestRide"
Are there some tips to know when going to Battery ; How crowded is Per Se right 	 GetPlaceDetails 	 GetPlaceDetails	"GetTrafficInformation, GetWeather"
Book a table for 3 people at ; a table at Joan's on Third for my family reunion 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, GetWeather"
Book a table for Sophie and ; a table for a group of 12 near west village 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Find me a table for lunch to eat steak near ; and a table for four for dinner 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
What's the weather like in 3 days? ; Should I take an umbrella to walk to my dinner? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Book a table at an italian restaurant nearby for dinner ; a table for 12 in 3 hours 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, GetWeather"
What's the weather like near my upcoming event? ; Is it cold outside? 	 GetWeather 	 GetWeather	"BookRestaurant, BookRestaurant"
Please book a table at Delmonico's this evening for ; a table at a restaurant near Emily's place for tomorrow 	 BookRestaurant 	 BookRestaurant	"RequestRide, RequestRide"
"Show me the fastest itinerary to go to Williamsburg, ; How do I go back home? "	 GetDirections 	 GetDirections	"GetPlaceDetails, GetPlaceDetails"
"What's the weather like in Paris, New York and Chicago? ; Is it a beautiful day for a walk? "	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Show me the cheapest cocktail bar near ; also, where can I eat the best burger in Soho? "	 SearchPlace 	 SearchPlace	"BookRestaurant, GetWeather"
Book a table at The Standard Grill for four people ; table at the best chinese restaurant in town for 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, SearchPlace"
meeting? ; Can I go hiking this afternoon? 	 GetWeather 	 GetWeather	"ShareCurrentLocation, ShareCurrentLocation"
Show me the best museums to visit near my London ; a store near Sia's place where I 	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
Book a table at a restaurant near Times Square ; I'd like a table in a peaceful restaurant around Times 	 BookRestaurant 	 BookRestaurant	"GetDirections, GetDirections"
Should I take an umbrella to walk to my dinner? ; Is it raining right now? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Find the top 3 family attractions in Hollywood not far ; and find the best restaurants near my airbnb that 	 SearchPlace 	 SearchPlace	"GetWeather, GetWeather"
Get ; and book a restaurant for brunch next 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"Show me the forecast for New Orleans, ; Will it rain in the next 30 minutes? "	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Share with Franz my ETA and ; with Mary 	 ShareETA 	 ShareETA	"ShareETA, ShareCurrentLocation"
"What's the weather like in Paris, New York and Chicago? ; Should I have an umbrella with me tomorrow? "	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Book a table for four people at Tapestry for 9pm ; a table at the nearest sushi restaurant for 2 for 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Book a table at the best chinese restaurant in town ; and a table for two at Nobu New York tonight. 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Get ; a table for two at Nobu New York 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Book a table for four people at Mondrian Soho ; and I want a table for friday 8pm for 2 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Send a message to my boss with my ETA and ; share my time of arrival with my Airbnb host. 	 ShareETA 	 ShareETA	"ShareETA, ShareCurrentLocation"
"Need a table for 12 in 3 hours, ; I'd like a table in a peaceful restaurant around Times "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Book a table at The Standard Grill for four people ; table near my London hotel next Wednesday evening 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Is there any Uber around? ; Book an Uber to my next meeting. 	 RequestRide 	 RequestRide	"RequestRide, RequestRide"
Is Three Dots and a Dash cheaper than Lost Lake? ; What's the closest between Jo's and Lori's 	 ComparePlaces 	 ComparePlaces	"ComparePlaces, ComparePlaces"
Book me a table for 4 at Delmonico's around 8pm ; and get me a table 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Can ; Book a table at Saddle Peak Lodge for my dinner 	 BookRestaurant 	 BookRestaurant	"GetDirections, GetDirections"
"Find me a brunch spot in Lower Manhattan, ; I want to eat some fried chicken. Any suggestions? "	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
Is it raining right now? ; What will the weather be like tomorrow morning? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Book a table at the nearest sushi restaurant for 2 ; pm and a table for 8 at Tavern on the 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Book for 4 people at Per Se for Tuesday evening ; and Make a reservation at Delmonico's on Saturday 8pm 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
I want the weather in Paris. ; Is it cold outside? 	 GetWeather 	 GetWeather	"BookRestaurant, BookRestaurant"
Show me the way to go to work. ; How do I go back home? 	 GetDirections 	 GetDirections	"RequestRide, RequestRide"
Show me walking directions to MOMA ; the way to Rand's birthday party by car 	 GetDirections 	 GetDirections	"GetDirections, GetDirections"
What will the weather be like when I land in ; Can I walk to my next meeting? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
